data,title
আচ্ছা সমর দার বিরিয়ানি কি এখনো  টাকাই আছে আমি যখন ভারতে গিয়েছিলাম তখন  টাকাতে খেয়েছিলাম সমর দার বিরিয়ানি বর্তমানে দাম কত চলে,নিরপেক্ষ
আজ আর যেতেও পারিনাতবুও এইসব ভিডিওর দৌলতে সেকালের সাদাকালো ছবিগুলির নুতন করে স্মৃতিচারনা,কিছুটা ইতিবাচক
আদনান ভাই আপনার খানা দেখে আমার এমন খিদা লাগছে কি আর বলবো এখন শুকনো মুড়ি খাইতেছি,নিরপেক্ষ
আদনান কি করে বুঝবে কে ঠিকঠাক লোক  কারোর প্রোফাইলের পাশে তো ঠিকঠাক বা ভুলভাল ট্যাগ লাগানো থাকে না বোধ হয় বুদ্ধি ব্যবহার করিস না না কি বুদ্ধি নেই ,কিছুটা নেতিবাচক
আদনান দা  তোমার প্রেসেন্টেশনটা ভালোই লাগলো ,নিশ্চিত ইতিবাচক
আদনান ফারুক হিল্লোল হিল্লোল নামেই বেশি পরিচিত বাংলাদেশের একজন খ্যাতনামা অভিনেতা বহু টিভি সিরিয়ালে অভিনয় করেছেন,নিশ্চিত ইতিবাচক
আদনান বাবু ওটা ফিরণী নয় পায়েস দুটোর পাকপ্রণালী আলাদা,নিরপেক্ষ
আদনান ভাই আপনার খাবার সময় কিছু সমস্যা যেমন চাবানোর বা সিপ নেয়ার সময় যে শব্দগুলো হয় তা যেমন প্রচন্ড বিরক্তিকর তেমনি রিভিউগুলার মান কমিয়ে দেয় আশা করি এগুলা মাথায় রেখে শব্দ না করে খাবার চেষ্টা করবেন সেটা অনেক বেশি ভাল হবে,কিছুটা নেতিবাচক
আদনান ভাই আপনার প্রমো দেখেই বুঝতে পারছি এবারের ইন্ডিয়া টুরে আমাদের জন্য জমপেশ অনেক ভিডিও আসতে চলেছে,কিছুটা ইতিবাচক
আদনান ভাই আপনি এই ভাবেই খাইয়া যান আর আমাদের জিভে জল আইনা যান,কিছুটা ইতিবাচক
আদনান ভাই একবার কৈলাস বোস স্ট্রীটের জগ্নমাতা ভোজনালয়ে যাবেন দুপুরের ভাত খেতে আর সদর স্ট্রীটের প্রিন্স রেস্টুরেন্টে কারণ আপনার পরিবেশনা খুব ভালো লাগেবাড়ীতে বসেই খাবার স্বাদগুলা পাই,কিছুটা ইতিবাচক
আদনান ভাই এবারে একবার ভোজ কোম্পানী স্টিফেন হাউসের খাবার টেস্ট করুন এখানে কলকাতা এবং ঢাকাই রান্না পাওয়া যায় আমার অভিজ্ঞতা ফিশ ফ্রাই এক কথায় অপূর্ব,কিছুটা ইতিবাচক
আদনান ভাই কিছু মনে করবেন না সুদীপা র রান্না ঘর খুব কস্টলি এটা জানা কথা যেটা আপনার এবং সাধারণ মানুষের জানা দরকার সুদীপা দি কেও যে কাটমানি দিয়ে ব্যবসা চালাতে হয় চেন সিস্টেমে জনগণের গাঁটের কড়ি বাটপার রা ছিনতাই করে চলেছে,কিছুটা নেতিবাচক
আদনান ভাই রেস্টুরেন্ট ওনারদের কিছু মন্তব্য নিলে আরো ভাল হয় কিভাবে তারা শুরু করলেন এমন আরকি,নিরপেক্ষ
আদনান ভাই সালাত না খাওয়ার জন্য রাগ করলাম,কিছুটা নেতিবাচক
আদনান ভাই পারলে কলকাতার ইয়ং বেঙ্গল হোটেলে একবার ঘুরে যেতে পারেন এর বয়স আনুমানিক  বছরএটা প্রতিষ্ঠিত হয় ওপার বাংলার বরিশাল নিবাসী তারাপদ গুহরায়ের হাত ধরে এখানের খাবারে হারিয়ে যাওয়া বাঙালিয়ানার পরিচয় পাবেন,নিশ্চিত ইতিবাচক
আদনান ভাইয়া এই খাবার কি হালাল খাবার প্লিজ জানাবেন তাহলে আমিও যাব সামনে আমার ইন্ডিয়া ট্যুর জানাবেন প্লিজ,নিরপেক্ষ
আদনান ভাইয়ের গলা কেটে রেখে দিছে,নিশ্চিত নেতিবাচক
আদনান হিল্লোল প্রথমে তিন্নিকে বিয়া কইরা খাইয়া ছাড়লোতারপর আর একটা ফালতু নওশিন রে ধরলোএখন কলকাতায় ভিক্ষা করতে আইছে খাইতে আইছে,নিশ্চিত নেতিবাচক
আদনান কলকাতায় আবারও স্বাগতম একটা ছোট্ট উপদেশ দেশে বিদেশে যেখানেই থাকুন মাইন ফিল্ড বুবি ট্রাপ  গুলো এড়িয়ে চলবেন নিজেকে নিরাপদ রাখার প্রাথমিক শর্ত,কিছুটা ইতিবাচক
আদনানদা আপনি ঠিকঠাক লোকের রেকমেন্ডেশান নিন ভুলভাল কেউ আপনাকে ভুলভাল জায়গা রেকমেন্ড করেছে,কিছুটা ইতিবাচক
আদি শুক্রাবাদ হোটেলে যেতে পারেন ভাই উনাদের চিকেন গ্রিল আর বুন্দিয়া টা খুব ভালো,কিছুটা ইতিবাচক
আপনাকে তো দিলো আমাদেরকে দিবে,নিরপেক্ষ
আপনার ধারণা অনেকাংশে ই সঠিক,কিছুটা ইতিবাচক
আপনার এই ভিডিওর রোস্টটা কেন তেল আর মসলার সমুদ্রে ভেসে থাকা নৌকার মতো নয় তা ঠিক বুঝতে পারলাম না,কিছুটা নেতিবাচক
আপনার কথা ই সব ক্লিয়ার হয়ে গেছে,নিরপেক্ষ
আপনার কন্টেন্ট বেশ ভালো কিন্তু উপস্থাপনা আরেকটু স্মার্ট হওয়া দরকার শুভকামনা রইলো,কিছুটা ইতিবাচক
আপনার ক্যামেরা ম্যানরে নোবেল দেওয়া উচিত,নিরপেক্ষ
আপনার খাওয়া দেখলে আমার খিদে বেড়ে যায় আর তখন আমিও খোঁজাখুঁজি করি কি খাওয়া যায়,নিরপেক্ষ
আপনার খাওয়া দেখে তো জিবে জল আইসা গেলো,কিছুটা ইতিবাচক
আপনার খাওয়া না ছাড়া জীবনে কি আর কোন কাজ নাই,কিছুটা নেতিবাচক
আপনার খাওয়ার স্টাইল টা বদলান খাওয়ার স্টাইল টা আরও লোভনীয় করা যেত,কিছুটা নেতিবাচক
আপনার পোস্ট করা ফুড রিভিউ আমাদের গ্রুপ,নিরপেক্ষ
আপনার প্রথম বাক্য টির সাথে একদম সহমত পোষণ করছি,নিশ্চিত ইতিবাচক
আপনার ভিডিও অনেক ভালো লাগে ভিডিও গুলো আরও বেশি বড় হলে আরও ভালো লাগবে,নিশ্চিত ইতিবাচক
আপনার ভিডিও আমার খুব ভাল লাগেটাঙ্গাইলে আমার বাড়িযদি টাঙ্গাইলের কোন ভিডিও বানাতেন ভাল লাগত,নিশ্চিত ইতিবাচক
আপনার মতো একজন বুদ্ধিমান,নিশ্চিত ইতিবাচক
আপনার মুখের রুচি কমে গেছে তাই স্বাদ পান নাই,কিছুটা নেতিবাচক
আপনার শ্রবণ শক্তিকে প্রণাম জানাই,নিরপেক্ষ
আপনার সবগুলো ভিডিও আমি দেখি ভিডিও গুলো ভালোই হয়কিন্তুু খাবারের সময় খুব বিচ্ছিরি আওয়াজ করে আপনি খাবার খান যা ভিডি ওর মান নস্ট হয়ে যায়,কিছুটা নেতিবাচক
আপনারতো আর টাকা লাগে না খাইতেতাই  টাকা দিয়ে ভাত খান,কিছুটা নেতিবাচক
আপনারা কম্পলেইন করতে পারেন না প্রশাসনের কাছে যে এরা অতিরিক্ত দাম রাখে,কিছুটা নেতিবাচক
আপনি এইভাবে খান কেন খিদে পেয়ে যায় ডাকবেন যাব খেতে কলকাতার কাছে থাকি মাথা দেখিয়ে খেলে কি হবে বললাম আপনি মনে করে হাসবেন তাই না দাদা,কিছুটা নেতিবাচক
আপনি এত খেয়েও ফিট কিভাবে থাকেন এজন্য আপনাকে সেলুট আমিও একজন ভোজন রসিক এবং আপনি আমার গুরু,নিশ্চিত ইতিবাচক
আপনি এত রসিয়ে রসিয়ে খান কেন মশাই জিভে জল চলে আসেভরা পেটেও খিদে পেয়ে যায়,কিছুটা ইতিবাচক
আপনি কি খান তার চেয় ভালো ফুত পাতের খাবার,কিছুটা নেতিবাচক
আপনি কি সত্যিই ভুলে গিয়েছিলেন না আপনি নিজেই চেয়েছিলাম এই দিনে ডাকাতির ব্যাপারটা খোলাখুলি তুলে ধরতে  যদি আপনি সত্যিই এমনটা করেন তাহলে সেটা সত্যিই খুব ভালো কাজ করেছেন,নিশ্চিত ইতিবাচক
আপনি কোলকাতায় এসেছেন দেখে আমি খুব খুশি,নিশ্চিত ইতিবাচক
আপনি চাটনি কে আচার বলছেন কেন,নিরপেক্ষ
আপনি জুহু বিচে তে আছেন বলে একটু দামটা বেশি সঙ্গে পরিমানটা কম বাদবাকি এই সব মুম্বাই তে খুব ফেমাস খাবার খুব ভালো থাকুক আপনি বার বার ইন্ডিয়াতে আসুন,কিছুটা ইতিবাচক
আপনি তো বাংলাদেশের একজন অভিনেতা এত বাজে উচ্চারণ কেন আপনার আছে  বলতে পারেন না আসে টা আবার কি,কিছুটা নেতিবাচক
আপনি যে ফিশফ্রাইটি খেলেন ওটা আর টোস্ট ছিল আমার প্রিয় শেষে চা মোট টাকা সাল  চিত্তদা নিজেই নিউমার্কেট থেকে ক্যানিংয়ের ভেটকি মাছ আনতো এখনকার মত দোকান বড় ছিলনা এতো ভ্যারাইটিও পাওয়া যেতনা কিন্তু খাবারের মানের সঙ্গে কোন আপোষ করেনি কোনোদিন,কিছুটা ইতিবাচক
আপনি সুলতান ডাইন এ কোন টাইম টা তে গিয়েছিলেন,নিরপেক্ষ
আপা কে সাথে নিলেই পারতেন বেচারি হয়তো না খেয়ে আছে,নিরপেক্ষ
আবার কলকাতা য় এসেছেন খুব ভালো লাগছে আমি নিয়মিত আপনার প্রোগ্রাম দেখি একটা নতুন জায়গার খোঁজ দিচ্ছি যদিও ছোট খোঁজ জায়গা টা হলো বিবাদী বাগ স্টেশন এর পরের স্টপেজ ক্লাইভ ঘাট বলে নেমে কাউকে জিঞ্জেস করলেই বলে দেবে শম্ভু কাকার দোকান ওখানে সিঙারা খুব ই ভালো দাম মাএ পাচ টাকা সাথে চা খেতে পারেন ছোটট একটা দোকান সারা দিন সিঙারা বিক্রি করে যাচ্ছে হাসি মুখে আমরা নিয়মিত অফিস থেকে যাই শম্ভু কাকার সিঙারা খেতে শুধু আলু আর মেথি পাতা দিয়ে অসাধারণ যদি যান খুব ভালো লাগবে ছোট্ট অনুরোধ বড় বড় অনেক জায়গায় গেছেন মনে হয় ভালো লাগবে আপনার ও ধন্যবাদ,নিশ্চিত ইতিবাচক
আবার বাজিমাৎ করলেন ভাই আমার ফুড  রিভিউ আবার তার সাথে ব্যাকগ্রাউন্ড মিউজিক হিসেবে,নিশ্চিত ইতিবাচক
আমরা আছি কাতার থেকে সবসময় আপনার পাশে,নিরপেক্ষ
আমরা কলকাতায় ব্রকলি খেতে অভ্যস্ত,নিরপেক্ষ
আমরা চাই আদনান ভাইয়ের বিডি ও তে উনি খাওয়া শুরুর আগে বিসমিল্লা টা বলে শুরু করে,কিছুটা ইতিবাচক
আমরা না গেলে তুরা না খেয়ে মরবি মালাউনের বাচ্চা,নিশ্চিত নেতিবাচক
আমাগো দেশে শুধুমাত্র পানির দাম বেশি রাখার জন্য ভোক্তায় মামলা খাইতো আর  হাজার জরিমানা দিতো সুদীপা আন্টি,নিশ্চিত নেতিবাচক
আমাদের আলু একটা অবশ্য পদ,নিরপেক্ষ
আমাদের বাংলাদেশের ব্যবসায়ীরা ডাকাতএত খাবার মাত্র টাকা,কিছুটা নেতিবাচক
আমার ইমু নাবার  কল দেন,নিরপেক্ষ
আমার এক কলিগ রান্নাবান্না ভাল করে আর সে এটা কমার্শিয়ালাইজেশানে যেতে চায় কিন্তু সে যে হিসাব বলে তাতে শখের রান্নার যে কস্টিং তা ওনার লাভলসের হিসাব কে গুবলেট পাকিয়ে দিচ্ছে সুদীপার রান্নাঘরে এমন কিছু ঘটলে অবাক হবো না,কিছুটা নেতিবাচক
আমার কলেজ এর সামনে সুলতানস ডাইন  সত্যিই অনেক মজা  রাইফেলস স্কয়ার খাবার গুলো ট্রাই করে দেখতে পারেন ,কিছুটা ইতিবাচক
আমার খাওয়া বেস্ট কাচ্চি এইটা,নিশ্চিত ইতিবাচক
আমার ছোট ভাই ফারদিন ক্লাস সেভেন এ পড়ে ও আর আমি আপনার প্রতিটি ভিডিও দেখি একটা ও মিস দেই না ইভেন তো ফারদিন আপনাকে অনুকরণ করে আপনার ভাবভঙ্গিতে কথা ও বলে,কিছুটা ইতিবাচক
আমি একজন বাংলাদেশি হিশাবে বলবো অত হিশাব নিকাশ করি নাতবে বেশিরভাগ সময় কেন জানি এই খাবার কে ফিরনি বলি,নিরপেক্ষ
আমি একটি নাম করা ভাতের হোটেল এ আপনাকে নিতে চাই,নিরপেক্ষ
আমি একবার গেছি আর জীবনে ওই রেস্টুরেন্ট যেতে চাই না,কিছুটা নেতিবাচক
আমি কলকাতার বিরিয়ানি খাইসি কিন্তু কেনো যেন মনে হয় পুরান ঢাকার বিরিয়ানি বেশি মজা,কিছুটা ইতিবাচক
আমি ডেকার্স লেন কে আমি বলি,নিরপেক্ষ
আমি পশ্চিমবঙ্গেই থাকি আপনার সাথে দেখা করার খুব ইচ্ছা আছে,কিছুটা ইতিবাচক
আমি বাংলাদেশি পরে কলকাতায় গেলে তুমায় চুমু খাব একদম দু পায়ের মাঝের গর্তে,নিশ্চিত নেতিবাচক
আমি বাংলাদেশের সবাইকে আমার দেশ ভারতে আসার জন্য আবেদন করছিআপনারা আসুন এবং আমাদের দেশের খাবার দাবার এর মজা নিন টুরিস্ট স্পট ঘুরুন মজা করুন,কিছুটা ইতিবাচক
আমি মার্ক ওয়েন আর সনির বিশাল ভক্ত একটা সময় ভাবতাম ইশ আমার দেশের কেউ যদি এমন করতো হিল্লোল ভাই আসলেই আপনি বাংলাদেশের একমাত্র প্রফেশনাল ফুড ব্লগার শুভকামনা রইল,নিশ্চিত ইতিবাচক
আমি রেনাল ফেইলুরের পেশেন্ট  খাওয়াতে খুব রেস্ট্রিকশন  কিন্তু আপনার চ্যানেল রেগুলার দেখি  এই এপিসোড দেখার পর খুব খারাপ লাগলো  রেস্টুরেন্ট থেকে কমেন্ট দেওয়াতে আপনার ভদ্রতা প্রকাশ পেলো  সপরিবারে ভালো থাকবেন ,নিশ্চিত ইতিবাচক
আর এটা বোঝার জন্য বেশি বুদ্ধিমান হওয়ার দরকার নেই যে যে জায়গায় লোক বেশি সেই জায়গায় ময়লাও বেশি হবে,কিছুটা নেতিবাচক
আর কোন খাবারের রিভিউ দিতে পারল না দিতে গেলো কলকাতার বাঙ্গালির খাবারের রিভিউ আমরা বাংলাদেশীরা মনে হয় এসব রান্না খেয়ে স্বাদ পাব নারান্না বাজে ধরনের,নিশ্চিত নেতিবাচক
আর পরিবেশে পাবেন বাংলার মাটি আর বাতাসের ছোঁয়া আর এই হোটেলকে ঘিরে অনেক ঐতিহাসিক ঘটনা আছে,কিছুটা ইতিবাচক
আর বাংলাদেশী মনে করে খেয়েনাখেয়ে বাড়তি পয়সা খরচ করে অন্ধকারে যাদের তোর টিংটিং গুখোর তোরা তো আবার বিশ্বচ্যাম্পিয়ন তোদের ম্যাচের কাঁঠি সাইজের জন্য নিয়ে গুঁতোগুঁতির ব্যর্থ চেষ্টা করিস কাগজের লিস্টিতে তো ওরা তোর নিজের দিদিবৌদিরা সব গরুর গুমুত খাওয়া এক গণ্ডুষ তোকে নিজের দিদিবৌদিদের দিয়ে চুদিয়ে এভাবে তোর পয়সা আদায় করে নিচ্ছে হাহাহা,নিশ্চিত নেতিবাচক
আর ভাই ভিডিওটা খুবই ভাল্লাগছে ,নিশ্চিত ইতিবাচক
আর হাজার হলেও আদনান অতিথি,কিছুটা ইতিবাচক
আরবী যাযাবররা একটু ভুল করেই থাকে আসলে ওরা বাঙালী নয় তাই কষাকে ভর্তা আর পায়েসকে ফিরনি বলে,নিরপেক্ষ
আলুর দম কখনোসখনো চিকেন স্টু,নিরপেক্ষ
আল্লাহ তৌফিক দিলে ইনশাআল্লাহ একবার যাইবো,নিশ্চিত ইতিবাচক
আশাকরি সামনের দিকে আরো নাটক পাবো,কিছুটা ইতিবাচক
আসলে কি জানেন যতদিন কলকাতা কমিউনিস্ট পার্টির ঘাটি ছিল ততদিন মানুষগুলোও মোটের উপর শিক্ষিত ছিল এখন হয়েছে গেরুয়া রঙের চামার কি দুঃখ ভাই বাংলাদেশের থেকে কিছু কুশিক্ষিত আধা কিম্বা অশিক্ষিত খারাপ কথা বলে থাকে তাই স্বীকার করি তবে তাদের অনেককেই এই বাংলাদেশের মানুষরাই জুতাপেটা করে ঠান্ডা করে থাকে প্রতিটা কথার না হলেও অনেক সময়ই করা হয় যারা না শেখার তারা শেখে না তাও স্বীকার করি যারা বাজে কথা বলে তারা অন্যায় করে এখন আসি আপনাদের কথায় বাংলাদেশের কি জানেন আপনারা  কিছুদিন আগে একজন আগে দেখলাম কেউ দেহাতি বলছে কেউ গায়ের রঙ নিয়ে বলছে কেউ ভাষা নিয়ে তো কেউ জামাকাপড় নিয়ে আপনারা নিজেদের ইতিহাসটা জানেন তো সুচিত্রা সেন অমর্ত্য সেন থেকে শুরু করে সব ক্ষেত্রেরই প্রচুর বাঙ্গালী মেধাবী মানুষের মূলটা বাংলাদেশে  তারা হয়ত প্রথম দ্বিতীয় বা তৃতীয় জেনারেশান ভারতীয় কাজেই নিজেদের বাপদাদাদের গালাগাল করে খুব বেশী ভদ্দরনোক আপনারা হতে পারছেন না আরেকটা কথা যখন বলেন স্বাধীনতাটা আপনাদের দান জেনে রাখুন কেউ কারও লড়াই লড়ে দিতে পারে না স্বাধীন হবার জন্য একটা দেশের মানুষের আত্মার সম্পৃক্ততা এবং লড়াই না থাকলে কোনদিন বাইরে থেকে এসে কেনা মোয়ার মত হাতে ধরিয়ে দিয়ে চলে যেতে পারে না স্বীকার করি সবচাইতে নিকট প্রতিবেশীর সমর্থন ও সহযোগিতা না পেলে যুদ্ধ আরও লম্বা হত কিন্তু মুক্তির নেশা যে জাতির ধরে তারা কেউ পাশে না থাকলেও লড়ে প্রজন্মের পর প্রজন্ম ধরে লড়ে ভারত চ্যারিটি করার জন্য সেদিন সহায়তা করেনি করেছে আমাদের ভৌগলিক গুরুত্ব বুঝে কাজেই এই মহামানব ভাবটাও ছাড়ুন আর বাংলাদেশীদের জীবনমান নিয়ে যদি প্রশ্ন করেন তাহলে বলতে হবে গুগল করুন তাতে যদি না কুলায় তাহলে এখন একটা ট্রেন চালু হয়েছে তাতে চেপে এসে দেখে যান কুৎসিত কথার পরিবর্তে আপনাদের জীবনযাপন নিয়ে অনেক কিছু বলার আছে কিন্তু সেটা না হয় থাকুক আর হ্যাঁ আমাদের দেশের বেশীর ভাগ মানুষ পুঁথির বাংলা বলে না ঠিকই কিন্তু বাংলাভাষা সবচাইতে বড় সম্মানটা আমাদের রক্তের বিনিময়ে পেয়েছে আমরা যারা কিনা আপনাদের ভাষায় যারা কিনা ছোট জাত আর কাঙ্গাল তা ভাই আমরা আর যাই হই বাঙ্গালিয়ানা ভুলে আধা মাড়োয়ারি আধা নাজানিকি হয়ে বসে নেই এটুক খুব তৃপ্তির সাথে বলতে পারি হিল্লোল কেন অনেক খাবার চেনেন না তা নিয়েও কথা বলে থাকেন আপনারা এলাকা ও সময়ভেদে রান্না,নিশ্চিত নেতিবাচক
আসুন এই দুর্ধর্ষ চিরনবীন খাদ্যরসিক যুবকটির সাথে পরিচিত হই,নিরপেক্ষ
ইচ্ছা ছিল কলকাতায় গেলে সুদীপার রান্নাঘরে খেতে যাবোকিন্তু খাবারের দাম দেখে সে ইচ্ছাটাই মরে গেলো,কিছুটা নেতিবাচক
ইন্টারেস্ট হারিয়ে ফেলতেছি এই চ্যানেল থেকে কলকাতার ভিডিও বেশি হচ্ছে এইগুলা এখন পরজন্ত ইউজলেস এর থেকে বাংলাদেশের আরও কিছু ভিডিও দেয়া উচিত কলকাতার দেন কিন্তু রেশিও টা ঠিক রেখে,কিছুটা নেতিবাচক
ইন্ডিয়া ব্লগের জন্য অপেক্ষায় আছি,নিরপেক্ষ
ইন্ডিয়াতে আপনি যে প্রদেশ এই জাবেন চাটনি পাবেন বিভিন্ন আইটেম এরতবে স্পাইসি চাটনি গুলু ভালো ঝাল এর ফ্লেভার টাও টাটকা,কিছুটা ইতিবাচক
ইন্ডিয়ান রুপিতে  রুপি মানে বাংলা টাকায় প্রায়  টাকা অনেক দাম এতো পরিমান পাপড় দিয়েছে যা চিত্ত রঙিন করতে পারে নাই বেগুনীটা তো আরো বড় গ্রেট সাইজ,কিছুটা ইতিবাচক
ইন্ডিয়ানরা চোর গেছ যখন ঠেলা সামলাও,নিশ্চিত নেতিবাচক
ইন্ডিয়ার ভিডিও গুলো দেখিস ভিডিও কাকে বলে,নিরপেক্ষ
উনি প্রফেশনাল ইউটিউবার ইউটিউবিং ও একটা পেশা এটা আর শখের জিনিস নয়,নিরপেক্ষ
এ কি বালের খাওয়ার কাচ্চি বিরিয়ানি বোরহানি এইসব বালের খাবার ছেড়ে নতুন খাবার দেখান,নিশ্চিত নেতিবাচক
এ তো পুরো ডাকাতি সুদীপা শুধুমাত্র নিজের নাম ভাঙ্গিয়ে এই রেস্টুরেন্টটা চালাচ্ছে এই দামের কারনেই আপনি ছাড়া আর কোনো কাস্টমার ছিলোনা আমাদের কলকাতায় আরো অনেক ভালো ভালোরেস্টুরেন্ট আছে যেখানে আরো কম দামে অনেক ভালো খাবার পাওয়া যায়,নিশ্চিত নেতিবাচক
এই কারণেই সুদীপা বুড়ি বয়েসে মা হতে পেরেও আনকমন ,কিছুটা নেতিবাচক
এই চিত্তবাবু কাংলাদেশে দোকান খুললে কাংলারা হামলে পড়ে খাবে জিও চিত্তবাবু কাংলাদেশে অধিকাংশ দোকানের থেকে এই খাবার অনেক ভালো,কিছুটা ইতিবাচক
এই চোরের রেস্টুরেন্টে আর কোনোদিন যাবেন না মোটামুটি কলকাতার কেউই এখানে যায় না,নিশ্চিত নেতিবাচক
